403,EVI2A,immunomodulators,CSF1_response,filtered out
404,TUBA4A,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
405,GNG11,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
406,PAICS,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
407,FLNC,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
408,SMO,immunomodulators,TGFB_score_21050467,filtered out
409,LRRC17,immunomodulators,TGFB_score_21050467,filtered out
410,DUT,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
411,APOE,immunomodulators,CSF1_response,filtered out
412,TOMM40,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
413,APOC1,immunomodulators,CSF1_response,filtered out
414,LSM4,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
415,MPP1,immunomodulators,CSF1_response,filtered out
416,TUBG1,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
417,SNRPA1,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
418,JCHAIN,immunomodulators,LIexpression_score,filtered out
419,USPL1,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
420,ALOX5AP,immunomodulators,CSF1_response,filtered out
421,RFC3,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
422,EPHB2,immunomodulators,TGFB_score_21050467,filtered out
423,GIMAP4,immunomodulators,CSF1_response,filtered out
424,AMPD3,immunomodulators,CSF1_response,filtered out
425,LOXL2,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
426,WNT2B,immunomodulators,TGFB_score_21050467,filtered out
427,NOTCH2,immunomodulators,TGFB_score_21050467,filtered out
428,RSAD2,immunomodulators,Module3_IFN_score,filtered out
429,DOCK2,immunomodulators,CSF1_response,filtered out
430,RNF138,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
431,OASL,immunomodulators,Module3_IFN_score,filtered out
432,RGS8,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
433,NPL,immunomodulators,CSF1_response,filtered out
434,NUDT15,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
435,LCP1,immunomodulators,CSF1_response,filtered out
