IP component,BRCA V(G)/Vp,BRCA Pval,BRCA fdr,BRCA n,BRCA nonhla V(G)/Vp,BRCA nonhla Pval,BRCA nonhla fdr,BRCA hla V(G)/Vp,BRCA hla Pval,BRCA hla fdr
KIF2C,0.317046,0.2259401,0.5000001,790,0.273741,0.2585901,0.373816178,0.011713,0.2630001,0.5000001
TPI1,1.00E-06,0.5000001,0.5000001,790,,,,,,
DCLRE1B,1.00E-06,0.5000001,0.5000001,790,,,,,,
CAPZB,0.01183,0.4900401,0.5000001,790,,,,,,
FLI1,1.00E-06,0.5000001,0.5000001,790,,,,,,
SNRPC,0.277559,0.2095601,0.5000001,790,0.303068,0.1926001,0.341736589,1.00E-06,0.5000001,0.5000001
TGF.beta.Response,0.261873,0.3055901,0.5000001,777,0.365845,0.2366001,0.366446964,1.00E-06,0.5000001,0.5000001
WDR54,1.00E-06,0.5000001,0.5000001,790,,,,,,
NLN,0.283806,0.2453601,0.5000001,790,0.290634,0.2382301,0.366446964,1.00E-06,0.5000001,0.5000001
CLEC4A,0.115141,0.3350801,0.5000001,790,0.099904,0.3550101,0.405767853,0.011398,0.2834601,0.5000001
MET,0.184629,0.2631201,0.5000001,790,0.123246,0.3299801,0.393764913,0.055833,0.0192851,0.266348921
EOMES,1.00E-06,0.5000001,0.5000001,790,,,,,,
CCRL2,1.00E-06,0.5000001,0.5000001,790,,,,,,
PPIH,0.188492,0.2316201,0.5000001,790,0.239208,0.1846201,0.337577428,1.00E-06,0.5000001,0.5000001
COL6A1,0.072707,0.4414801,0.5000001,790,0.173138,0.3625501,0.41041735,1.00E-06,0.5000001,0.5000001
ITGB3,0.152442,0.2917701,0.5000001,790,0.165638,0.2788201,0.38050443,1.00E-06,0.5000001,0.5000001
SERPINE1,0.131812,0.3609601,0.5000001,790,0.135676,0.3566101,0.405767853,1.00E-06,0.5000001,0.5000001
NME1,0.297222,0.2568001,0.5000001,790,0.33281,0.2331401,0.36508423,1.00E-06,0.5000001,0.5000001
CBX1,0.198924,0.2957701,0.5000001,790,0.240319,0.2628201,0.373816178,1.00E-06,0.5000001,0.5000001
SKA2,1.00E-06,0.5000001,0.5000001,790,,,,,,
SLC16A1,1.00E-06,0.5000001,0.5000001,790,,,,,,
PSMA2,0.338781,0.2415301,0.5000001,790,0.335521,0.2446201,0.37256285,0.003404,0.4455901,0.5000001
SAR1A,1.00E-06,0.5000001,0.5000001,790,,,,,,
PTPRC,1.00E-06,0.5000001,0.5000001,790,,,,,,
COPS6,0.051359,0.4123201,0.5000001,790,0.045121,0.4227601,0.445721787,0.007083,0.3609501,0.5000001
LCP2,1.00E-06,0.5000001,0.5000001,790,,,,,,
TBX21,1.00E-06,0.5000001,0.5000001,790,,,,,,
PSMD3,0.275035,0.1947101,0.5000001,790,0.297408,0.1798501,0.333804665,1.00E-06,0.5000001,0.5000001
SEMA3F,1.00E-06,0.5000001,0.5000001,790,,,,,,
EXOSC8,0.080101,0.4037501,0.5000001,790,0.077756,0.4072101,0.437443797,0.001542,0.4625901,0.5000001
HLA.DMA,0.100084,0.4027101,0.5000001,790,0.080649,0.4224901,0.445721787,0.006538,0.3607001,0.5000001
PSMA7,0.078006,0.4396101,0.5000001,790,0.134238,0.3955101,0.428855214,1.00E-06,0.5000001,0.5000001
HSPB11,0.225894,0.2939501,0.5000001,790,0.217997,0.3014301,0.38740599,0.008789,0.3817901,0.5000001
SLC25A40,0.238652,0.2015901,0.5000001,790,0.238764,0.2011701,0.35012738,0.0006,0.4880101,0.5000001
NPL,1.00E-06,0.5000001,0.5000001,790,,,,,,
PSMC3,1.00E-06,0.5000001,0.5000001,790,,,,,,
SNRPE,1.00E-06,0.5000001,0.5000001,790,,,,,,
HLA.A,0.171539,0.3496801,0.5000001,790,1.00E-06,0.5000001,0.5000001,0.065453,0.00065811,0.027700448
AP2A2,1.00E-06,0.5000001,0.5000001,790,,,,,,
CD52,1.00E-06,0.5000001,0.5000001,790,,,,,,
CAPZA2,0.292973,0.2287101,0.5000001,790,0.155814,0.3391901,0.395579386,0.069913,0.0062863,0.171209229
SYK,1.00E-06,0.5000001,0.5000001,790,,,,,,
NOD1,0.136059,0.3111801,0.5000001,790,0.161418,0.2833101,0.382427336,1.00E-06,0.5000001,0.5000001
TPSAB1,0.053705,0.4521901,0.5000001,790,1.00E-06,0.5000001,0.5000001,0.022182,0.1594701,0.5000001
NUP85,1.00E-06,0.5000001,0.5000001,790,,,,,,
GNG11,1.00E-06,0.5000001,0.5000001,790,,,,,,
IGFBP4,0.115946,0.3921601,0.5000001,790,0.078241,0.4278801,0.449225593,0.01239,0.2657101,0.5000001
SH2B3,1.00E-06,0.5000001,0.5000001,790,,,,,,
CD207,0.134938,0.3659801,0.5000001,790,0.198252,0.3095901,0.38740599,1.00E-06,0.5000001,0.5000001
WAS,0.013803,0.4845401,0.5000001,790,,,,,,
FCGRT,1.00E-06,0.5000001,0.5000001,790,,,,,,
DSP,1.00E-06,0.5000001,0.5000001,790,,,,,,
LAPTM5,0.191444,0.3220301,0.5000001,790,0.212114,0.3073301,0.38740599,1.00E-06,0.5000001,0.5000001
CHEK1,0.019069,0.4784601,0.5000001,790,,,,,,
